"Madagascar" "Coral Triangle"
"cladocora caespitosa" 0 0
"coeloseris mayeri" 20 13
"colpophyllia natans" 0 0
"coscinaraea columna" 28 8
"coscinaraea crassa" 24 0
"coscinaraea exesa" 19 0
"coscinaraea hahazimaensis" 0 0
"coscinaraea marshae" 0 0
"coscinaraea mcneilli" 0 0
"coscinaraea monile" 47 0
"coscinaraea wellsi" 21 14
"ctenactis albitentaculata" 0 10
"ctenactis crassa" 0 8
"ctenactis echinata" 20 10
"ctenella chagius" 19 0
"cycloseris costulata" 26 1
"cycloseris cyclolites" 33 5
"cycloseris distorta" 19 6
"cycloseris erosa" 20 0
"cycloseris patelliformis" 21 0
"cycloseris somervillei" 20 4
"cycloseris tenuis" 1 5
"cycloseris vaughani" 1 2
"cynarina lacrymalis" 19 17
"cyphastrea agassizi" 0 0
"cyphastrea chalcidicum" 38 7
"cyphastrea decadia" 0 1
"cyphastrea hexasepta" 0 0
"cyphastrea japonica" 0 7
"cyphastrea microphthalma" 35 19
"cyphastrea ocellina" 0 0
"cyphastrea serailia" 34 18
"dendrogyra cylindrus" 0 0
"diaseris fragilis" 1 0
"dichocoenia stokesi" 0 0
"diploastrea heliopora" 47 8
"diploria clivosa" 0 0
"diploria labyrinthiformis" 0 0
"diploria strigosa" 0 0
"duncanopsammia axifuga" 0 0
"echinophyllia aspera" 38 12
"echinophyllia echinata" 21 9
"echinophyllia echinoporoides" 19 4
"echinophyllia orpheensis" 34 4
"echinophyllia patula" 0 1
"echinopora forskaliana" 20 0
"echinopora gemmacea" 35 4
"echinopora hirsutissima" 50 4
"echinopora horrida" 0 15
"echinopora irregularis" 0 0
"echinopora lamellosa" 28 22
"echinopora mammiformis" 0 5
"echinopora pacificus" 1 1
"echinopora robusta" 19 0
"echinopora tiranensis" 0 0
"euphyllia ancora" 20 15
"euphyllia cristata" 0 5
"euphyllia divisa" 1 8
"euphyllia glabrescens" 20 15
"euphyllia paraglabrescens" 0 0
"eusmilia fastigiata" 0 0
"favia albidus" 0 0
"favia danae" 26 0
"favia favus" 42 15
"favia fragum" 0 0
"favia helianthoides" 23 3
"favia lacuna" 19 0
"favia laxa" 22 5
"favia leptophylla" 0 0
"favia lizardensis" 41 0
"favia maritima" 32 0
"favia marshae" 0 0
"favia matthaii" 48 5
"favia maxima" 19 5
"favia pallida" 37 26
"favia rosaria" 0 0
"favia rotumana" 22 5
"favia rotundata" 0 2
"favia speciosa" 46 5
"favia stelligera" 48 12
"favia truncatus" 34 0
"favia veroni" 22 7
"favia vietnamensis" 19 0
"favites abdita" 37 13
"favites acuticollis" 19 0
"favites bestae" 0 0
"favites chinensis" 24 4
"favites complanata" 40 6
"favites flexuosa" 45 7
"favites halicora" 28 10
"favites micropentagona" 7 0
"favites paraflexuosa" 21 1
"favites pentagona" 50 12
"favites russelli" 36 3
"favites spinosa" 20 0
"favites stylifera" 19 0
"favites vasta" 43 0
"fungia colini" 0 0
"fungia concinna" 43 21
"fungia corona" 19 2
"fungia curvata" 21 0
"fungia danai" 27 10
"fungia fralinae" 0 1
"fungia fungites" 30 53
"fungia granulosa" 38 10
"fungia hexagonalis" 19 4
"fungia horrida" 14 20
"fungia klunzingeri" 8 5
"fungia moluccensis" 22 18
"fungia paumotensis" 38 28
"fungia puishani" 19 0
"fungia repanda" 22 29
"fungia scabra" 20 2
"fungia scruposa" 20 10
"fungia scutaria" 30 21
"fungia seychellensis" 33 0
"fungia sinensis" 0 29
"fungia spinifer" 0 7
"galaxea acrhelia" 0 0
"galaxea astreata" 32 18
"galaxea cryptoramosa" 0 1
"galaxea fascicularis" 56 43
"galaxea horrescens" 0 1
"galaxea longisepta" 0 1
"galaxea paucisepta" 0 0
"gardineroseris planulata" 33 18
"goniastrea aspera" 27 6
"goniastrea australensis" 25 4
"goniastrea columella" 22 0
"goniastrea deformis" 19 0
"goniastrea edwardsi" 38 8
"goniastrea favulus" 20 1
"goniastrea minuta" 19 0
"goniastrea palauensis" 22 3
"goniastrea pectinata" 49 16
"goniastrea peresi" 47 0
"goniastrea thecata" 23 0
"goniopora albiconus" 29 0
"goniopora burgosi" 1 0
"goniopora cellulosa" 0 0
"goniopora ciliatus" 3 0
"goniopora columna" 30 6
"goniopora djiboutiensis" 23 3
"goniopora eclipsensis" 0 1
"goniopora fruticosa" 0 4
"goniopora lobata" 29 6
"goniopora minor" 28 6
"goniopora norfolkensis" 0 0
"goniopora palmensis" 0 0
"goniopora pandoraensis" 0 0
"goniopora pearsoni" 0 0
"goniopora pendulus" 0 0
"goniopora planulata" 20 0
"goniopora savignyi" 2 0
"goniopora somaliensis" 40 7
"goniopora stokesi" 26 6
"goniopora stutchburyi" 21 6
"goniopora sultani" 0 0
"goniopora tenella" 0 2
"goniopora tenuidens" 24 15
"gyrosmilia interrupta" 38 0
"halomitra clavator" 0 3
"halomitra pileus" 26 17
"heliofungia actiniformis" 0 20
"herpolitha limax" 36 23
"herpolitha weberi" 3 0
"heterocyathus aequicostatus" 23 28
"heteropsammia cochlea" 31 63
"horastrea indica" 25 0
"hydnophora bonsai" 0 0
"hydnophora exesa" 50 18
"hydnophora grandis" 1 0
"hydnophora microconos" 22 11
"hydnophora pilosa" 19 1
"hydnophora rigida" 21 17
"isophyllia rigida" 0 0
"isophyllia sinuosa" 0 0
"leptastrea aequalis" 26 0
"leptastrea bewickensis" 0 0
"leptastrea bottae" 22 7
"leptastrea inaequalis" 20 0
"leptastrea pruinosa" 34 4
"leptastrea purpurea" 38 13
"leptastrea transversa" 39 8
"leptoria irregularis" 0 0
"leptoria phrygia" 48 6
"leptoseris cailleti" 0 0
"leptoseris cucullata" 0 0
"leptoseris explanata" 4 14
"leptoseris foliosa" 23 2
"leptoseris gardineri" 1 10
"leptoseris hawaiiensis" 24 15
"leptoseris incrustans" 26 0
"leptoseris mycetoseroides" 32 25
"leptoseris papyracea" 1 10
"leptoseris scabra" 26 16
"leptoseris solida" 19 0
"leptoseris striata" 0 0
"leptoseris tubulifera" 20 0
"leptoseris yabei" 20 17
"lithophyllon mokai" 1 7
"lithophyllon undulatum" 0 5
"lobophyllia corymbosa" 39 3
"lobophyllia dentatus" 0 0
"lobophyllia diminuta" 1 0
"lobophyllia flabelliformis" 19 0
"lobophyllia hataii" 37 13
"lobophyllia hemprichii" 50 28
"lobophyllia pachysepta" 19 4
"lobophyllia robusta" 30 0
"madracis asanoi" 0 5
