"Miocene" "Pliocene"
"Pistocythereis aff. cribriformis (Brady, 1866)" 0 3
"Pistocythereis aff. euplectella (Brady, 1869)" 20 0
"Pistocythereis sp." 0 44
"Pontocythere sp." 0 15
"Profundobythere sp." 0 5
"Propontocypris cf. clara Zhao, 1988" 0 2
"Propontocypris cf. crocata Maddocks, 1969" 0 6
"Propontocypris sp." 0 1
"Pseudocythere sp." 0 2
"Rimacytheropteron sinense Gou, 2007" 0 1
"Rockallia sp." 0 1
"Saida aff. herrigi Key, 1975" 0 1
"Saida aff. opima Ruan, 1988" 0 1
"Saida torresi (Brady, 1880)" 0 2
"Saida sp." 0 1
"Semicytherura sp." 0 3
"Spinileberis cf. rhomboidalis Chen, 1982" 0 2
"Stigmatocythere costa (Hu, 1977)" 0 16
"Stigmatocythere sp." 0 1
"Tanella cf. gracilis Kingma, 1948" 0 1
"Tenedocythere sp. 1" 0 11
"Tenedocythere sp. 2" 0 1
"Tenedocythere sp. 3" 0 3
"Tenedocythere sp. 4" 0 4
"Triebelina cf. sertata Triebel, 1948" 0 2
"Venericythere sp." 0 7
"Xestoleberis spp." 1 190
"Xylocythere sp." 0 1
"Gen. et sp. indet. 1" 0 5
"Gen. et sp. indet. 2" 0 2
"Gen. et sp. indet. 3" 0 1
